"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002237","GO:0002237","response to molecule of bacterial origin","52/1402","223/13303",2.36591579754894e-08,3.87933870933589e-06,3.23917572010775e-06,"Cmpk2/P2rx7/Trim30a/Cd274/Trim12c/Ccl5/Nfkbia/Arid5a/Nr1d1/Tnf/Chuk/Havcr2/Serpine1/Cd84/Mrc1/Irf5/Gch1/S100a14/Pde2a/Il1a/Cd68/Trim6/Cxcl2/Il6/Cebpb/Ptafr/Smad6/Ccl2/Ssc5d/Prdm1/Il1b/Nos2/Shpk/Ccr7/Trim12a/Cxcl1/Trim30d/Slc11a1/Irak3/Ggt1/Zfp36/Ptger4/Cnr1/Ido1/Nlrp3/Fcgr4/Cd6/Ppbp/Tnfsf4/Pf4/Ncf2/Il23r",52
"GO:0002683","GO:0002683","negative regulation of immune system process","70/1402","341/13303",2.76681632038864e-08,4.39491479891733e-06,3.66967217230493e-06,"Hspb1/Trim21/Dhx58/Cd274/Adgrf5/Nr1d1/Tnf/Havcr2/Il1rl1/Id2/Il33/Serpinb9/Cd84/Crtam/Mafb/Trex1/Nbl1/Oas1c/Fbn1/Adar/Nckap1l/Syt11/Gata2/Adtrp/Pag1/Smad7/Cd68/Foxj1/Socs1/Inpp5d/Hmox1/Cebpb/Ccl25/Lgals7/Ccl2/Prdm1/Nfkbid/Zc3h12d/Ptprc/Serpinb9c/Plcl2/Muc4/Klrb1b/Pparg/Runx3/Cd300a/Cxcl12/Gpx2/Irak3/Slamf1/Ccr2/Dusp1/Ptger4/Cnr1/Slfn1/Btn1a1/Sox11/Skint2/Ido1/Il20rb/Pdcd1/Tspan6/Mmp12/Pglyrp4/Tnfsf4/Ceacam1/Adora2a/Pglyrp2/Blk/Lag3",70
"GO:0001909","GO:0001909","leukocyte mediated cytotoxicity","31/1402","102/13303",2.95467133944876e-08,4.55108921770244e-06,3.80007490930061e-06,"P2rx7/Gm11127/H2-T24/Cadm1/Havcr2/Serpinb9/Crtam/Ulbp1/H2-Q10/Nckap1l/Fcgr1/Gm8909/Stx11/Ccl2/Ripk3/H2-Q1/H2-Q2/Itgam/Dnase1l3/Ptprc/Serpinb9c/Cxcl1/Muc4/Klrb1b/Fcgr3/Pomc/Klrc1/Ceacam1/Klrb1c/Vav1/Lag3",31
"GO:0050900","GO:0050900","leukocyte migration","58/1402","269/13303",7.36493844640795e-08,1.10105829773799e-05,9.19363214115072e-06,"Ccl5/Pla2g7/Csf1r/Tnf/Cadm1/Serpine1/Trp53/Il33/Crtam/Icam1/Ccl4/Nbl1/Mtus1/Nckap1l/Cd34/S100a14/Itgb7/Adtrp/Il1a/Foxj1/Fut4/Cxcl2/C3ar1/Ccl25/Edn1/Ptafr/Ccl2/Ripk3/S1pr1/Ccl20/Il1b/Trpm2/Selplg/Itgam/P2ry12/Ccr7/Cxcl1/Syk/Cd300a/Cxcr2/Jam2/Cxcl12/Slamf1/Ccr2/Dusp1/Dysf/Ptger4/Fcgr3/Aoc3/Myo1g/Itgal/Gas6/Ccl9/Ppbp/Tnfsf4/Pf4/Tnfsf11/Vav1",58
"GO:0002819","GO:0002819","regulation of adaptive immune response","42/1402","169/13303",7.93534844294542e-08,1.10135037774859e-05,9.19607095495267e-06,"P2rx7/Gm11127/Cd274/H2-T24/Arid5a/Tnf/Havcr2/Il1rl1/Il33/H2-Q10/Nckap1l/Fcgr1/Smad7/Foxj1/Gm8909/Il18r1/Il6/Slc15a4/Ripk3/Prkcq/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Ptprc/Ccr7/Slc11a1/Muc4/Was/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Fcgr3/Il27/Nlrp3/Il20rb/Tnfsf4/Tnfrsf13c/Il23r",42
"GO:0042330","GO:0042330","taxis","81/1402","426/13303",7.98989894631401e-08,1.10135037774859e-05,9.19607095495267e-06,"Hspb1/Gab1/Fgfr1/Ccl5/Pla2g7/Csf1r/Lama3/Serpine1/Id2/Ccl4/Plxna2/Gstp2/Nbl1/Mtus1/Nckap1l/S100a14/Sema6a/Lgr4/Angpt2/Flrt2/L1cam/Cxcl2/C3ar1/Ccl25/Nr4a3/Edn1/Ptafr/Ccl2/S1pr1/Prkcq/Smoc2/Ccrl2/Ccr4/Ccl20/Kalrn/Sema4f/Boc/Il1b/Tubb3/Trpm2/Bmpr1b/Itgam/P2ry12/Ccr7/Cxcl1/Syk/Sema3c/Kif5c/Prtg/Dock2/Cntn5/Runx3/Tenm2/Kif5a/Evl/Cxcr2/Cxcl12/Slamf1/Ccr2/Dusp1/Dysf/Efnb3/Cdk5r1/Fcgr3/Fgf7/Cysltr1/Bin2/Nrcam/Lox/Gas6/Ccl9/Emb/Ppbp/Epha3/Pf4/Tnfsf11/Sema4g/Vav1/Gas1/Prkd1/Slit1",81
"GO:0002526","GO:0002526","acute inflammatory response","23/1402","65/13303",8.01691205522288e-08,1.10135037774859e-05,9.19607095495267e-06,"Ccl5/Tnf/Serpinb9/Icam1/Il1a/Fcgr1/Il6/Il1b/Dnase1l3/Ccr7/Cxcl1/Pparg/Cxcr2/Il1rn/Cnr1/Fcgr3/Aoc3/Nlrp3/Il20rb/F8/Cd6/Tnfsf4/Tnfsf11",23
"GO:0031349","GO:0031349","positive regulation of defense response","48/1402","206/13303",8.35046715269993e-08,1.11698485624141e-05,9.32661594451139e-06,"Trim30a/Trim12c/Fgfr1/Ccl5/Nfkbia/Aim2/Tnf/Cadm1/Havcr2/Serpine1/Il1rl1/Il33/Optn/Crtam/Ulbp1/Cebpa/Pde2a/Fcgr1/Trim6/Il6/Cebpb/Slc15a4/Ifi205/Il1b/Ccr7/Trim12a/Cxcl1/Syk/Trim30d/Gpr4/Ereg/Ccr2/Ptger4/Cnr1/Nod1/Fcgr3/Aoc3/Penk/Ido1/Osm/Pomc/Mmp12/Klrc1/Tnfsf4/Tnfsf11/Klrb1c/Vav1/Lag3",48
"GO:0048871","GO:0048871","multicellular organismal homeostasis","77/1402","401/13303",1.10177345405033e-07,1.4359780684456e-05,1.19901499776813e-05,"Sgip1/P2rx7/Id1/Krt16/Ddit3/Ccl5/Adgrf5/Csf1r/Nr1d1/Tnf/Cdh3/Car2/Gatm/Oas1c/Gadd45g/Il15/Cd34/Gata2/Grhl1/Lgr4/Ptgs1/Il1a/Aqp3/Sqstm1/Acacb/Il18r1/Inpp5d/Tnfrsf11b/Bmp8b/Il6/Arrdc3/Aloxe3/Cebpb/Tmprss11f/Nr4a3/Cyp26b1/S1pr1/Tjp3/Abcb1a/Tex15/Il1b/Cldn1/Trpm2/Lepr/Adamts5/Syk/Plcl2/Slc11a1/Abca4/Muc4/Pbld2/Pparg/Trpv2/Gpx2/Plcl1/Cftr/Il1rn/Abca12/Piwil4/Ccr2/Pdk4/Ptger4/Cnr1/Abat/Fgf7/Wnt10b/Il20rb/Cngb1/Slc28a2/Scnn1g/Fcgr4/Col11a2/Pcdh15/Ceacam1/Tnfsf11/Oxtr/Wnk3",77
"GO:0050863","GO:0050863","regulation of T cell activation","55/1402","253/13303",1.19829638208591e-07,1.47385090808689e-05,1.23063811495622e-05,"Hspb1/Cd274/Ccl5/Havcr2/Crtam/Il2rg/Trex1/Il15/Nckap1l/Pag1/Il1a/Smad7/Foxj1/Ccdc88b/Zeb1/Socs1/Cd5/Il6/Cebpb/Lgals7/Cyp26b1/Ccl2/Ripk3/Prkcq/Prdm1/Nfkbid/Il1b/Zc3h12d/Ptprc/Ccr7/Syk/Runx3/Cd300a/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Efnb3/Ikzf1/Slfn1/Btn1a1/Il27/Skint2/Ido1/Nlrp3/Il20rb/Lat/Itgal/Cd6/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Tnfrsf13c/Lag3",55
"GO:0070661","GO:0070661","leukocyte proliferation","55/1402","253/13303",1.19829638208591e-07,1.47385090808689e-05,1.23063811495622e-05,"P2rx7/Cd274/Clu/Ccl5/Csf1r/Havcr2/Trp53/Chrnb2/Il33/Crtam/Il15/Nckap1l/Il1a/Foxj1/Ccdc88b/Inpp5d/Il6/Cebpb/Lgals7/Zbtb32/Ripk3/Prkcq/Prdm1/Cdkn1a/Cd40/Il1b/Zc3h12d/Itgam/Ptprc/Ccr7/Syk/Plcl2/Dock2/Slc11a1/Cd300a/Cxcl12/Slamf1/Tnfsf13b/Hhex/Ccr2/Slfn1/Cd79a/Btn1a1/Sox11/Il27/Ido1/Il20rb/Itgal/Cd6/Tnfsf4/Ceacam1/Tnfsf11/Wnt4/Blk/Tnfrsf13c",55
"GO:0006935","GO:0006935","chemotaxis","80/1402","423/13303",1.21781896792543e-07,1.47385090808689e-05,1.23063811495622e-05,"Hspb1/Gab1/Fgfr1/Ccl5/Pla2g7/Csf1r/Lama3/Serpine1/Ccl4/Plxna2/Gstp2/Nbl1/Mtus1/Nckap1l/S100a14/Sema6a/Lgr4/Angpt2/Flrt2/L1cam/Cxcl2/C3ar1/Ccl25/Nr4a3/Edn1/Ptafr/Ccl2/S1pr1/Prkcq/Smoc2/Ccrl2/Ccr4/Ccl20/Kalrn/Sema4f/Boc/Il1b/Tubb3/Trpm2/Bmpr1b/Itgam/P2ry12/Ccr7/Cxcl1/Syk/Sema3c/Kif5c/Prtg/Dock2/Cntn5/Runx3/Tenm2/Kif5a/Evl/Cxcr2/Cxcl12/Slamf1/Ccr2/Dusp1/Dysf/Efnb3/Cdk5r1/Fcgr3/Fgf7/Cysltr1/Bin2/Nrcam/Lox/Gas6/Ccl9/Emb/Ppbp/Epha3/Pf4/Tnfsf11/Sema4g/Vav1/Gas1/Prkd1/Slit1",80
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","33/1402","120/13303",1.54633377112228e-07,1.8279103624685e-05,1.52627117874297e-05,"P2rx7/Ddx58/Gm11127/H2-T24/Arid5a/Tnf/Cadm1/Crtam/Ulbp1/H2-Q10/Fcgr1/Gm8909/Il18r1/Il6/Ptafr/Ccl2/Mad2l2/H2-Q1/Cd40/Il1b/H2-Q2/Itgam/Ptprc/Cxcl1/Slamf1/Fcgr3/Nlrp3/Pomc/Klrc1/Tnfsf4/Klrb1c/Vav1/Lag3",33
"GO:0002699","GO:0002699","positive regulation of immune effector process","47/1402","204/13303",1.63048693939697e-07,1.883582980217e-05,1.57275677982023e-05,"P2rx7/Ddx58/Gm11127/Dhx58/H2-T24/Arid5a/Tnf/Cadm1/Il33/Cd84/Crtam/Ulbp1/H2-Q10/Gata2/Fcgr1/Trim6/Gm8909/Il18r1/Hmox1/Il6/Nr4a3/Ptafr/Ccl2/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Itgam/Ptprc/Ccr7/Cxcl1/Syk/Cd300a/Slamf1/Ccr2/Fcgr3/Nlrp3/Pomc/Klrc1/Tnfsf4/Ceacam1/Klrb1c/Vav1/Blk/Lag3",47
"GO:0050878","GO:0050878","regulation of body fluid levels","52/1402","236/13303",1.68108753553215e-07,1.89888176513553e-05,1.58553098088085e-05,"Pros1/Krt16/Procr/Chuk/Serpine1/Prl2c3/Oas2/Anxa8/Cd34/Grhl1/Prl2c2/Adtrp/Socs2/Aqp3/Serpind1/Eif2ak3/Tfpi2/Slc4a5/Il6/Aloxe3/Tmprss11f/Edn1/Cyp26b1/Tfpi/Prkcq/Pdpn/Kalrn/Cldn1/Sytl2/P2ry12/Syk/Evl/Cftr/Abca12/Hpse/Comp/Ptger4/Chrm1/Abat/Apoh/Papss2/F5/F8/Scnn1g/Gas6/Ceacam1/Adora2a/Pf4/Entpd2/C9/Blk/Wnk3",52
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","70/1402","357/13303",1.82546712531125e-07,2.01714117346893e-05,1.68427538884552e-05,"Ddx58/Id1/Trim21/Trim25/Trim30a/Trim26/Sp100/Clu/Ddit3/Trim12c/Parp10/Nfkbia/Ngf/Aim2/Tnf/Chuk/Trim34a/Havcr2/Eomes/Ifrd1/Klf4/Id2/Cd84/Icam1/Foxa1/Pou4f1/Trim34b/Enpp1/Hr/Smad7/Trim6/Foxj1/Il18r1/Hmox1/Il6/Edn1/Rnf31/Ripk3/Prkcq/Mad2l2/Nfkbid/Cyp1b1/Cd40/Il1b/Ppp2r5b/Trim30c/Hcls1/Trim12a/Bcl3/Syk/Trim30d/Pparg/Rgcc/Adcy1/Irak3/Bmp2/Trim30b/Nod1/Nlrp3/Amh/Wnt10b/Map3k13/Fank1/Gas6/Trim15/Adcy8/Tnfsf4/Tnfsf11/Prkd1/Lpar5",70
"GO:0002695","GO:0002695","negative regulation of leukocyte activation","39/1402","156/13303",1.93746851488723e-07,2.06466156691927e-05,1.72395403415275e-05,"Hspb1/Cd274/Adgrf5/Nr1d1/Havcr2/Id2/Cd84/Crtam/Nckap1l/Syt11/Pag1/Smad7/Foxj1/Socs1/Inpp5d/Hmox1/Cebpb/Lgals7/Prdm1/Nfkbid/Zc3h12d/Pparg/Runx3/Cd300a/Ccr2/Cnr1/Slfn1/Btn1a1/Sox11/Skint2/Ido1/Il20rb/Pglyrp4/Tnfsf4/Ceacam1/Adora2a/Pglyrp2/Blk/Lag3",39
"GO:0002824","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","29/1402","99/13303",1.99032887623538e-07,2.06466156691927e-05,1.72395403415275e-05,"P2rx7/Gm11127/Cd274/H2-T24/Arid5a/Tnf/H2-Q10/Fcgr1/Gm8909/Il18r1/Il6/Prkcq/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Ptprc/Slc11a1/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Fcgr3/Nlrp3/Tnfsf4/Tnfrsf13c/Il23r",29
"GO:0032609","GO:0032609","interferon-gamma production","29/1402","99/13303",1.99032887623538e-07,2.06466156691927e-05,1.72395403415275e-05,"Cd274/Ddit3/Arid5a/Tnf/Havcr2/Eomes/Il1rl1/Il33/Crtam/Ulbp1/Gadd45g/Il18r1/Lgals7/Ripk3/Il1b/Ccr7/Bcl3/Slc11a1/Runx3/Slamf1/Ccr2/Il27/Il20rb/Gas6/Pglyrp4/Tnfsf4/Pglyrp2/Tnfrsf13c/Il23r",29
"GO:0006909","GO:0006909","phagocytosis","43/1402","181/13303",2.19869621622153e-07,2.21316196159825e-05,1.84794910365079e-05,"Pros1/P2rx7/Tnf/Il2rg/Trex1/Syt7/Il15/Nckap1l/Syt11/Gata2/Fcgr1/Il2rb/Megf10/Ccl2/Myo7a/Il1b/Itgam/Lepr/Trbc1/Ptprc/Ccr7/Syk/Dock2/Slc11a1/Pparg/Cd300a/Ptx3/Slamf1/Ccr2/Dysf/Fcgr3/Trdc/Bin2/Trbc2/C2/Myo1g/Prkcg/Itgal/Gas6/Mst1r/Xkr6/Vav1/Ncf2",43
"GO:1903555","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","36/1402","139/13303",2.22056384106847e-07,2.21316196159825e-05,1.84794910365079e-05,"Hspb1/Ddx58/Trim30a/Cd274/Clu/Arid5a/Havcr2/Il33/Cd84/Ccl4/Oas2/Trex1/Gstp2/Oas1c/Syt11/Cd34/Il1a/Il6/Ptafr/Nfatc4/Ccl2/Ptprc/Ccr7/Bcl3/Syk/Irak3/Slamf1/Ccr2/Zfp36/Ptger4/Nod1/Fcgr3/Pomc/Clec4a1/Gas6/C1qtnf4",36
"GO:0050867","GO:0050867","positive regulation of cell activation","57/1402","271/13303",2.31101172223617e-07,2.25901395848586e-05,1.8862346688373e-05,"Cd274/Fgfr1/Ccl5/Havcr2/Crlf2/Il1rl1/Chrnb2/Il33/Il2rg/Ulbp1/Il15/Nckap1l/Cebpa/Gata2/Il1a/Ccdc88b/Socs1/Inpp5d/Cd5/Il6/Nr4a3/Ptafr/Ccl2/Prkcq/Mad2l2/Prdm1/Pdpn/Nfkbid/Cdkn1a/Cd40/Il1b/Itgam/Trbc1/Ptprc/Ccr7/Clec4d/Syk/Runx3/H2-DMa/Slamf1/Cftr/Tnfsf13b/Ccr2/Efnb3/Ikzf1/Trdc/Acta2/Nlrp3/Trbc2/Klrc1/Itgal/Gas6/Cd6/Tnfsf4/Ceacam1/Tnfsf11/Tnfrsf13c",57
"GO:0032943","GO:0032943","mononuclear cell proliferation","51/1402","233/13303",2.74369220665352e-07,2.63135612951317e-05,2.19713346121688e-05,"P2rx7/Cd274/Ccl5/Csf1r/Havcr2/Trp53/Chrnb2/Crtam/Il15/Nckap1l/Il1a/Foxj1/Ccdc88b/Inpp5d/Il6/Cebpb/Lgals7/Zbtb32/Ripk3/Prkcq/Prdm1/Cdkn1a/Cd40/Il1b/Zc3h12d/Itgam/Ptprc/Ccr7/Syk/Plcl2/Dock2/Slc11a1/Cd300a/Cxcl12/Slamf1/Tnfsf13b/Ccr2/Slfn1/Cd79a/Btn1a1/Sox11/Il27/Ido1/Il20rb/Itgal/Cd6/Tnfsf4/Ceacam1/Wnt4/Blk/Tnfrsf13c",51
"GO:0051091","GO:0051091","positive regulation of DNA-binding transcription factor activity","50/1402","227/13303",2.9260034870122e-07,2.75423624527464e-05,2.29973607400257e-05,"Ddx58/Trim21/Trim25/Trim30a/Trim26/Sp100/Clu/Ddit3/Trim12c/Ngf/Aim2/Tnf/Chuk/Trim34a/Ifrd1/Cd84/Icam1/Foxa1/Trim34b/Trim6/Il18r1/Il6/Edn1/Rnf31/Ripk3/Prkcq/Cd40/Il1b/Ppp2r5b/Trim30c/Hcls1/Trim12a/Trim30d/Pparg/Rgcc/Adcy1/Irak3/Bmp2/Trim30b/Nod1/Nlrp3/Amh/Wnt10b/Map3k13/Fank1/Trim15/Adcy8/Tnfsf11/Prkd1/Lpar5",50
"GO:0031343","GO:0031343","positive regulation of cell killing","21/1402","60/13303",3.61948731025109e-07,3.34506436327387e-05,2.79306657127893e-05,"P2rx7/Gm11127/H2-T24/Cadm1/Crtam/Ulbp1/H2-Q10/Gm8909/Ccl2/H2-Q1/H2-Q2/Itgam/Nos2/Ptprc/Cxcl1/Syk/Pomc/Klrc1/Klrb1c/Vav1/Lag3",21
"GO:0002456","GO:0002456","T cell mediated immunity","29/1402","102/13303",4.01422208430874e-07,3.64362336688237e-05,3.04235779021294e-05,"P2rx7/Gm11127/H2-T24/Arid5a/Crlf2/Serpinb9/Icam1/Trex1/H2-Q10/Nckap1l/Smad7/Gm8909/Stx11/Il18r1/Il6/Ripk3/H2-Q1/Il1b/H2-Q2/Ptprc/Slc11a1/Muc4/Was/Slamf1/Ccr2/Nlrp3/Il20rb/Myo1g/Tnfsf4",29
"GO:0046651","GO:0046651","lymphocyte proliferation","50/1402","230/13303",4.46472670930301e-07,3.98143962515565e-05,3.32442808714861e-05,"P2rx7/Cd274/Ccl5/Havcr2/Trp53/Chrnb2/Crtam/Il15/Nckap1l/Il1a/Foxj1/Ccdc88b/Inpp5d/Il6/Cebpb/Lgals7/Zbtb32/Ripk3/Prkcq/Prdm1/Cdkn1a/Cd40/Il1b/Zc3h12d/Itgam/Ptprc/Ccr7/Syk/Plcl2/Dock2/Slc11a1/Cd300a/Cxcl12/Slamf1/Tnfsf13b/Ccr2/Slfn1/Cd79a/Btn1a1/Sox11/Il27/Ido1/Il20rb/Itgal/Cd6/Tnfsf4/Ceacam1/Wnt4/Blk/Tnfrsf13c",50
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","35/1402","137/13303",4.65103945207404e-07,4.066931382665e-05,3.39581211570152e-05,"Hspb1/Ddx58/Trim30a/Clu/Arid5a/Havcr2/Il33/Cd84/Ccl4/Oas2/Trex1/Gstp2/Oas1c/Syt11/Cd34/Il1a/Il6/Ptafr/Nfatc4/Ccl2/Ptprc/Ccr7/Bcl3/Syk/Irak3/Slamf1/Ccr2/Zfp36/Ptger4/Nod1/Fcgr3/Pomc/Clec4a1/Gas6/C1qtnf4",35
"GO:0071706","GO:0071706","tumor necrosis factor superfamily cytokine production","36/1402","143/13303",4.72061679278447e-07,4.066931382665e-05,3.39581211570152e-05,"Hspb1/Ddx58/Trim30a/Cd274/Clu/Arid5a/Havcr2/Il33/Cd84/Ccl4/Oas2/Trex1/Gstp2/Oas1c/Syt11/Cd34/Il1a/Il6/Ptafr/Nfatc4/Ccl2/Ptprc/Ccr7/Bcl3/Syk/Irak3/Slamf1/Ccr2/Zfp36/Ptger4/Nod1/Fcgr3/Pomc/Clec4a1/Gas6/C1qtnf4",36
"GO:0031347","GO:0031347","regulation of defense response","81/1402","444/13303",4.85162980504203e-07,4.11013904983811e-05,3.43188971472447e-05,"Ddx58/Trim21/Dhx58/Trim30a/Apobec3/Trim12c/Fgfr1/Ccl5/Nfkbia/Aim2/Nr1d1/Tnf/Cadm1/Havcr2/Serpine1/Il1rl1/Il33/Optn/Serpinb9/Crtam/Ulbp1/Trex1/Oas1c/Il15/Adar/Syt11/Cebpa/Pde2a/Fcgr1/Trim6/Socs1/Il6/Cebpb/Slc15a4/Ifi205/Il1b/Shpk/Dnase1l3/Serpinb9c/Ccr7/Trim12a/Cxcl1/Syk/Trim30d/Serpinb1a/Gpr4/Klrb1b/Pparg/Gpx2/Irak3/Ggt1/Ereg/Ccr2/Zfp36/Ptger4/Cnr1/Nod1/Fcgr3/Aoc3/Il27/Penk/Ido1/Nlrp3/Osm/Il20rb/Pomc/Tspan6/Mmp12/Klrc1/Tnfaip6/Tnfsf4/Ceacam1/Adora2a/Tnfsf11/Klrb1c/Vav1/Casp4/Pglyrp2/Lag3/Il23r/Slc7a2",81
"GO:0042098","GO:0042098","T cell proliferation","40/1402","170/13303",7.53190816796809e-07,6.2761785602921e-05,5.24049244749738e-05,"P2rx7/Cd274/Ccl5/Havcr2/Trp53/Crtam/Il15/Nckap1l/Il1a/Foxj1/Ccdc88b/Il6/Cebpb/Lgals7/Zbtb32/Ripk3/Prkcq/Il1b/Zc3h12d/Itgam/Ptprc/Ccr7/Syk/Dock2/Slc11a1/Cxcl12/Slamf1/Tnfsf13b/Ccr2/Slfn1/Btn1a1/Il27/Ido1/Il20rb/Itgal/Cd6/Tnfsf4/Ceacam1/Wnt4/Tnfrsf13c",40
"GO:0042060","GO:0042060","wound healing","56/1402","274/13303",7.84369699959585e-07,6.43056642724931e-05,5.36940344692198e-05,"Pros1/Procr/Serpinb2/Tnf/Serpine1/Syt7/Syt11/Anxa8/Cd34/Gata2/Adtrp/Il1a/Serpind1/Tfpi2/Hmox1/Il6/Tfpi/Ccl2/Prkcq/Smoc2/Pdpn/Cdkn1a/Cldn1/Abi3bp/P2ry12/Fkbp10/Syk/Tmeff2/Slc11a1/Gpr4/Pparg/Evl/Trim72/Ccr2/Hpse/Comp/Dysf/Ptger4/Abat/Apoh/Fgf7/Acta2/Lox/Papss2/Mmp12/F5/F8/Scnn1g/Gas6/Ceacam1/Pf4/Wnt4/Entpd2/C9/Blk/Vil1",56
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","54/1402","261/13303",8.25376545559533e-07,6.65934758901445e-05,5.56043146482212e-05,"Cd274/Ccl5/Havcr2/Crlf2/Il1rl1/Chrnb2/Il33/Il2rg/Ulbp1/Il15/Nckap1l/Cebpa/Gata2/Il1a/Ccdc88b/Socs1/Inpp5d/Cd5/Il6/Nr4a3/Ptafr/Ccl2/Prkcq/Mad2l2/Prdm1/Nfkbid/Cdkn1a/Cd40/Il1b/Itgam/Trbc1/Ptprc/Ccr7/Clec4d/Syk/Runx3/H2-DMa/Slamf1/Cftr/Tnfsf13b/Ccr2/Efnb3/Ikzf1/Trdc/Nlrp3/Trbc2/Klrc1/Itgal/Gas6/Cd6/Tnfsf4/Ceacam1/Tnfsf11/Tnfrsf13c",54
"GO:0032649","GO:0032649","regulation of interferon-gamma production","26/1402","89/13303",8.92210647120732e-07,7.08610424892919e-05,5.9167653440638e-05,"Cd274/Ddit3/Arid5a/Tnf/Havcr2/Il1rl1/Il33/Crtam/Ulbp1/Il18r1/Lgals7/Ripk3/Il1b/Ccr7/Bcl3/Slc11a1/Slamf1/Ccr2/Il27/Il20rb/Gas6/Pglyrp4/Tnfsf4/Pglyrp2/Tnfrsf13c/Il23r",26
"GO:0002821","GO:0002821","positive regulation of adaptive immune response","29/1402","106/13303",9.69820871877911e-07,7.45368116395427e-05,6.22368523624955e-05,"P2rx7/Gm11127/Cd274/H2-T24/Arid5a/Tnf/H2-Q10/Fcgr1/Gm8909/Il18r1/Il6/Prkcq/Mad2l2/H2-Q1/Nfkbid/Cd40/Il1b/H2-Q2/Ptprc/Slc11a1/H2-DMa/Slamf1/Tnfsf13b/Ccr2/Fcgr3/Nlrp3/Tnfsf4/Tnfrsf13c/Il23r",29
"GO:0032640","GO:0032640","tumor necrosis factor production","35/1402","141/13303",9.70644792012875e-07,7.45368116395427e-05,6.22368523624955e-05,"Hspb1/Ddx58/Trim30a/Clu/Arid5a/Havcr2/Il33/Cd84/Ccl4/Oas2/Trex1/Gstp2/Oas1c/Syt11/Cd34/Il1a/Il6/Ptafr/Nfatc4/Ccl2/Ptprc/Ccr7/Bcl3/Syk/Irak3/Slamf1/Ccr2/Zfp36/Ptger4/Nod1/Fcgr3/Pomc/Clec4a1/Gas6/C1qtnf4",35
"GO:0050764","GO:0050764","regulation of phagocytosis","25/1402","84/13303",9.8248404089108e-07,7.45368116395427e-05,6.22368523624955e-05,"Pros1/Tnf/Il2rg/Syt7/Il15/Nckap1l/Syt11/Gata2/Fcgr1/Il2rb/Ccl2/Il1b/Ptprc/Ccr7/Syk/Dock2/Slc11a1/Pparg/Cd300a/Ptx3/Dysf/Fcgr3/C2/Prkcg/Gas6",25
"GO:0046596","GO:0046596","regulation of viral entry into host cell","16/1402","40/13303",1.14041641234162e-06,8.52461268225361e-05,7.11789314947587e-05,"Trim21/Trim25/Trim30a/Trim26/Ly6e/Trim12c/Trim34a/Trim34b/Trim6/Trim30c/Trim12a/Trim30d/Ptx3/Trim30b/Tmprss4/Ifitm1",16
"GO:0001912","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","19/1402","54/13303",1.18366962654869e-06,8.71969958224202e-05,7.28078708504092e-05,"P2rx7/Gm11127/H2-T24/Cadm1/Crtam/Ulbp1/H2-Q10/Gm8909/Ccl2/H2-Q1/H2-Q2/Itgam/Ptprc/Cxcl1/Pomc/Klrc1/Klrb1c/Vav1/Lag3",19
"GO:0046631","GO:0046631","alpha-beta T cell activation","34/1402","137/13303",1.38841325156163e-06,0.000100818636538396,8.41816876736313e-05,"Cd274/Eomes/Crtam/Il2rg/Relb/Gadd45g/Il15/Nckap1l/Smad7/Socs1/Il18r1/Il6/Cebpb/Lgals7/Prkcq/Prdm1/Nfkbid/Ptprc/Ccr7/Bcl3/Syk/Dock2/Runx3/Cd300a/Ccr2/Ptger4/Ikzf1/Il27/Nlrp3/Wdfy4/Clec4a1/Tnfsf4/Ceacam1/Adora2a",34
"GO:0050866","GO:0050866","negative regulation of cell activation","40/1402","174/13303",1.4207293627868e-06,0.000101712216211906,8.49278100927558e-05,"Hspb1/Cd274/Adgrf5/Nr1d1/Havcr2/Id2/Cd84/Crtam/Nckap1l/Syt11/Pag1/Smad7/Foxj1/Socs1/Inpp5d/Hmox1/Cebpb/Lgals7/Prdm1/Nfkbid/Zc3h12d/Pparg/Runx3/Cd300a/Ccr2/Cnr1/Slfn1/Abat/Btn1a1/Sox11/Skint2/Ido1/Il20rb/Pglyrp4/Tnfsf4/Ceacam1/Adora2a/Pglyrp2/Blk/Lag3",40
